,WeekDay,Origin Movement ID,Destination Movement ID,AM Mean Travel Time (Seconds),combined,Distance,r-squared
68,3,3760,3792,701.75,"3760, 3792",1.1,0.374
69,3,3792,3603,783.1153846153846,"3792, 3603",1.7,0.582
70,3,3792,3692,702.1153846153846,"3792, 3692",1.0,0.645
71,3,3792,3760,652.0,"3792, 3760",1.6,0.019
72,4,3394,3603,823.0909090909091,"3394, 3603",1.5,0.258
73,4,3394,3692,1044.7692307692307,"3394, 3692",1.9,0.658
74,4,3394,3760,1019.578947368421,"3394, 3760",1.9,0.36
75,4,3396,3603,1252.3333333333333,"3396, 3603",3.2,0.257
76,4,3396,3692,1405.8461538461538,"3396, 3692",3.5,0.678
77,4,3396,3760,1404.0,"3396, 3760",3.5,0.113
78,4,3603,3394,622.25,"3603, 3394",1.5,0.322
79,4,3603,3396,1234.0,"3603, 3396",3.2,0.17
80,4,3603,3792,568.2307692307693,"3603, 3792",1.8,0.54
81,4,3692,3394,864.047619047619,"3692, 3394",2.4,0.474
82,4,3692,3396,1285.0,"3692, 3396",4.2,0.771
83,4,3692,3792,443.5769230769231,"3692, 3792",1.4,0.092
84,4,3760,3394,855.0526315789474,"3760, 3394",2.5,0.365
85,4,3760,3396,,"3760, 3396",4.1,1.0
86,4,3760,3792,705.9090909090909,"3760, 3792",1.1,0.374
87,4,3792,3603,711.0384615384615,"3792, 3603",1.7,0.582
88,4,3792,3692,648.3076923076923,"3792, 3692",1.0,0.645
89,4,3792,3760,1084.0,"3792, 3760",1.6,0.019
90,5,3394,3603,477.0,"3394, 3603",1.5,0.258
91,5,3394,3692,707.5454545454545,"3394, 3692",1.9,0.658
92,5,3394,3760,715.0,"3394, 3760",1.9,0.36
93,5,3396,3603,,"3396, 3603",3.2,0.257
94,5,3396,3692,1047.0,"3396, 3692",3.5,0.678
95,5,3396,3760,,"3396, 3760",3.5,0.113
96,5,3603,3394,585.0588235294117,"3603, 3394",1.5,0.322
97,5,3603,3396,,"3603, 3396",3.2,0.17
98,5,3603,3792,434.6923076923077,"3603, 3792",1.8,0.54
99,5,3692,3394,669.2173913043479,"3692, 3394",2.4,0.474
100,5,3692,3396,1069.2,"3692, 3396",4.2,0.771
101,5,3692,3792,368.12,"3692, 3792",1.4,0.092
102,5,3760,3394,739.0555555555555,"3760, 3394",2.5,0.365
103,5,3760,3396,1476.0,"3760, 3396",4.1,1.0
104,5,3760,3792,,"3760, 3792",1.1,0.374
105,5,3792,3603,411.8333333333333,"3792, 3603",1.7,0.582
106,5,3792,3692,425.92,"3792, 3692",1.0,0.645
107,5,3792,3760,,"3792, 3760",1.6,0.019
108,6,3394,3603,808.0,"3394, 3603",1.5,0.258
109,6,3394,3692,748.8823529411765,"3394, 3692",1.9,0.658
110,6,3394,3760,991.5,"3394, 3760",1.9,0.36
111,6,3396,3603,,"3396, 3603",3.2,0.257
112,6,3396,3692,1097.0,"3396, 3692",3.5,0.678
113,6,3396,3760,,"3396, 3760",3.5,0.113
114,6,3603,3394,600.0,"3603, 3394",1.5,0.322
115,6,3603,3396,,"3603, 3396",3.2,0.17
116,6,3603,3792,471.3181818181818,"3603, 3792",1.8,0.54
117,6,3692,3394,631.8095238095239,"3692, 3394",2.4,0.474
118,6,3692,3396,1151.0,"3692, 3396",4.2,0.771
119,6,3692,3792,473.65,"3692, 3792",1.4,0.092
120,6,3760,3394,742.2380952380952,"3760, 3394",2.5,0.365
121,6,3760,3396,,"3760, 3396",4.1,1.0
122,6,3760,3792,1052.8,"3760, 3792",1.1,0.374
123,6,3792,3603,379.3125,"3792, 3603",1.7,0.582
124,6,3792,3692,395.72222222222223,"3792, 3692",1.0,0.645
125,6,3792,3760,,"3792, 3760",1.6,0.019
